               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.022006,           0.0067126,           0.0025558,             0.95656,               0.991,             0.97116,             0.67867,            0.022027,            0.005518,           0.0016107,            0.006634,            0.006634,            0.006634
                  36,            0.022298,           0.0067857,           0.0021708,             0.95271,              0.9891,             0.97953,             0.66473,            0.022441,            0.005593,           0.0021714,            0.006535,            0.006535,            0.006535
                  37,            0.022024,           0.0066594,           0.0023318,             0.94526,             0.97479,             0.97912,             0.68017,            0.021825,           0.0055665,           0.0027539,            0.006436,            0.006436,            0.006436
                  38,            0.021762,           0.0066295,           0.0027996,             0.95589,              0.9889,              0.9762,             0.68266,            0.021995,           0.0055449,           0.0020149,            0.006337,            0.006337,            0.006337
                  39,            0.022597,           0.0066906,            0.002905,             0.95404,              0.9861,             0.97638,             0.68049,            0.021644,             0.00547,           0.0021056,            0.006238,            0.006238,            0.006238
                  40,             0.02196,           0.0067263,           0.0033004,             0.95987,             0.99186,             0.97883,             0.68689,            0.021925,           0.0055268,           0.0016313,            0.006139,            0.006139,            0.006139
                  41,             0.02148,           0.0067512,           0.0021419,             0.94993,              0.9808,             0.97698,              0.6741,            0.022241,            0.005579,           0.0022295,             0.00604,             0.00604,             0.00604
                  42,            0.021727,           0.0065736,           0.0017865,             0.95701,             0.98899,             0.97854,             0.67535,            0.022374,            0.005535,           0.0021122,            0.005941,            0.005941,            0.005941
                  43,              0.0215,           0.0066762,           0.0023967,             0.95758,             0.98931,             0.97135,             0.67241,            0.021892,           0.0055004,            0.001794,            0.005842,            0.005842,            0.005842
                  44,            0.021531,           0.0064809,           0.0024034,             0.95634,             0.98917,             0.97673,             0.68241,            0.021619,           0.0054821,           0.0016511,            0.005743,            0.005743,            0.005743
                  45,             0.02212,           0.0066546,            0.002137,             0.96065,             0.99482,             0.97704,             0.68389,            0.021456,           0.0054647,           0.0011995,            0.005644,            0.005644,            0.005644
                  46,            0.020968,           0.0067172,           0.0020087,             0.95749,             0.98922,             0.97746,             0.67892,            0.021703,           0.0054647,           0.0017335,            0.005545,            0.005545,            0.005545
